street_address,phone_number,zip_code,entity_type,fips_county_code,bed_count,city,state_or_region,name_common,ccn,facility_type,medicare_medicaid_eligible,lat,lon
1545 e southlake blvd,8177488700,76092,NOT FOR PROFIT,439.0,6.0,southlake,TX,texas health harris methodist hospital southlake,450888,Short Term,true,,
7115 greenville avenue suite 100,2146475300,75231,VOL. NON PROFIT - RELIGIOUS AFF,113.0,9.0,dallas,TX,texas institute for surgery at presbyterian hospit,450889,Short Term,true,,
,2548888888,76703,,309.0,1590.0,waco,TX,va hosp,45088F,,false,,
4700 alliance boulevard,4698142000,75093,RELIGIOUS AFFILIATION,85.0,160.0,plano,TX,baylor regional medical center at plano,450890,Short Term,true,,
6020 w parker road,9724032700,75093,VOL. NON PROFIT - RELIGIOUS AFF,85.0,18.0,plano,TX,texas health center for diagnostics & surgery plan,450891,Short Term,true,,
2801 south mayhill road,9402200600,76208,LOCAL GOVERNMENT,121.0,16.0,denton,TX,the heart hospital baylor denton,450893,Short Term,true,,
sheppard afb,,76311,,485.0,296.0,wichita falls,TX,us air force hosp,45089F,,false,,
7400 merton minter boulevard,2106175300,78284,,29.0,1114.0,san antonio,TX,south texas veterans health care sys,45090F,,false,,
1500 gregg st,9158888888,79720,,227.0,37.0,big spring,TX,cowper clinic,45095E,,false,,
2345 reagon st,,75219,,113.0,26.0,dallas,TX,casa blanca hosp,45108E,,false,,
3611 fairmount st,,75219,,113.0,50.0,dallas,TX,jones childrens haven hosp,45116E,,false,,
3017 fairmount,,75201,,113.0,18.0,dallas,TX,texas clinic hosp,45117E,,false,,
610 texas ave,,77550,,167.0,31.0,galveston,TX,shriners hosp for crippled children,45118E,,false,,
501 s hackenberry st,,78219,,29.0,16.0,san antonio,TX,saints hosp,45121E,,false,,
1307 cleveland street,8062502754,79035,PROPRIETARY,369.0,25.0,friona,TX,parmer county community hospital,451300,Critical Access Hospitals,true,,
1300 n main avenue,3258442561,76932,STATE,383.0,14.0,big lake,TX,reagan memorial hospital,451301,Critical Access Hospitals,true,,
701 mcclintic drive,2547293281,76642,STATE,293.0,20.0,groesbeck,TX,limestone medical center,451303,Critical Access Hospitals,true,,
102 north us highway 277,3258532507,76936,VOL. NON PROFIT - RELIGIOUS AFF,413.0,14.0,eldorado,TX,schleicher county medical center,451304,Critical Access Hospitals,true,,
1101 woodson drive,9795673245,77836,PRIVATE NON PROFIT,51.0,25.0,caldwell,TX,burleson st joseph health center,451305,Critical Access Hospitals,true,,
349 reid road,3254463321,76849,VOL. NON PROFIT - RELIGIOUS AFF,267.0,15.0,junction,TX,kimble hospital,451306,Critical Access Hospitals,true,,
600 highway 349 north,4326392575,79744,STATE,371.0,14.0,iraan,TX,iraan general hospital,451307,Critical Access Hospitals,true,,
412 mustang avenue,8065922121,79323,CORPORATION,501.0,24.0,denver city,TX,yoakum county hospital,451308,Critical Access Hospitals,true,,
2500 hwy 305 south,4326528626,79752,STATE,461.0,14.0,mccamey,TX,mccamey hospital,451309,Critical Access Hospitals,true,,
608 avenue b,3253652531,76821,STATE,399.0,25.0,ballinger,TX,ballinger memorial hospital,451310,Critical Access Hospitals,true,,
305 north mckinney,9795483311,77480,STATE,39.0,20.0,sweeny,TX,sweeny community hospital,451311,Critical Access Hospitals,true,,
600 south austin road,9792345571,77434,VOL. NON PROFIT - RELIGIOUS AFF,89.0,25.0,eagle lake,TX,rice medical center,451312,Critical Access Hospitals,true,,
774 state highway 70 n,3257352256,79546,STATE,151.0,14.0,rotan,TX,fisher county hospital district,451313,Critical Access Hospitals,true,,
821 jeffee drive,4325865865,79745,CORPORATION,495.0,25.0,kermit,TX,winkler county memorial hospital,451314,Critical Access Hospitals,true,,
7821 state highway 153,3257544553,79567,STATE,399.0,25.0,winters,TX,north runnels hospital,451315,Critical Access Hospitals,true,,
100 west cross street,9363482631,77864,RELIGIOUS AFFILIATION,313.0,25.0,madisonville,TX,madison st joseph health center,451316,Critical Access Hospitals,true,,
107 swift street,3615262321,78377,STATE,391.0,20.0,refugio,TX,refugio county memorial hospital,451317,Critical Access Hospitals,true,,
821 north broadway,9409893551,79502,STATE,433.0,20.0,aspermont,TX,stonewall memorial hospital district,451318,Critical Access Hospitals,true,,
2026 s jackson street,9035414500,75766,PROPRIETARY,73.0,25.0,jacksonville,TX,christus mother frances hospital- jacksonville,451319,Critical Access Hospitals,true,,
200 hospital drive,4092673143,77514,STATE,71.0,14.0,anahuac,TX,omnipoint health hospital,451320,Critical Access Hospitals,true,,
210 judson st,9368256585,77868,PROPRIETARY,185.0,25.0,navasota,TX,grimes st joseph health center,451322,Critical Access Hospitals,true,,
608 north key avenue,5125563682,76550,PROPRIETARY,281.0,25.0,lampasas,TX,adventhealth rollins brook,451323,Critical Access Hospitals,true,,
308 hudspeth,3253872521,76950,STATE,435.0,12.0,sonora,TX,lillian m hudspeth memorial hospital,451324,Critical Access Hospitals,true,,
614 eaker street,9158695911,76837,STATE,95.0,16.0,eden,TX,concho county hospital,451325,Critical Access Hospitals,true,,
538 broadway,4092966000,77665,VOL. NON PROFIT - RELIGIOUS AFF,71.0,25.0,winnie,TX,riceland medical center,451328,Critical Access Hospitals,true,,
1611 spur 576,4326932443,79778,STATE,461.0,15.0,rankin,TX,rankin hospital medical clinic,451329,Critical Access Hospitals,true,,
2805 kimbro rd,,76111,,439.0,68.0,fort worth,TX,elmwood sanatorium,45132E,,false,,
3100 avenue e,8304267700,78861,STATE,325.0,25.0,hondo,TX,medina regional hospital,451330,Critical Access Hospitals,true,,
1411 denver avenue,8062444571,79022,STATE,111.0,25.0,dalhart,TX,coon memorial hospital,451331,Critical Access Hospitals,true,,
311 green avenue,3619722511,77465,PROPRIETARY,321.0,17.0,palacios,TX,palacios community medical center,451332,Critical Access Hospitals,true,,
600 e interstate 20     po box 640,4327563345,79782,STATE,317.0,18.0,stanton,TX,martin county hospital district,451333,Critical Access Hospitals,true,,
901 s. sweetwater,8068265581,79096,STATE,483.0,16.0,wheeler,TX,parkview hospital,451334,Critical Access Hospitals,true,,
605 n maple street,9407592271,76252,STATE,97.0,18.0,muenster,TX,muenster memorial hospital,451335,Critical Access Hospitals,true,,
320 north main,8066523373,79241,STATE,153.0,25.0,lockney,TX,w j mangold memorial hospital,451337,Critical Access Hospitals,true,,
eisenhower road and fm 2185,4322832760,79855,RELIGIOUS AFFILIATION,109.0,25.0,van horn,TX,culberson hospital,451338,Critical Access Hospitals,true,,
802 n minter avenue,9408492151,76483,CORPORATION,447.0,14.0,throckmorton,TX,throckmorton county memorial hospital,451339,Critical Access Hospitals,true,,
1000 south main street,8062562114,79079,STATE,483.0,25.0,shamrock,TX,shamrock general hospital,451340,Critical Access Hospitals,true,,
1 north avenue n  po box 1117,9408642621,79521,STATE,207.0,25.0,haskell,TX,haskell memorial hospital,451341,Critical Access Hospitals,true,,
997 west i-20,3257283431,79512,STATE,335.0,25.0,colorado city,TX,mitchell county hospital district,451342,Critical Access Hospitals,true,,
1207 s bailey street,9404953981,76360,STATE,485.0,25.0,electra,TX,electra memorial hospital,451343,Critical Access Hospitals,true,,
707 roland st,8066592535,79081,CORPORATION,195.0,25.0,spearman,TX,hansford county hospital,451344,Critical Access Hospitals,true,,
710 west main street,8066752382,79322,PROPRIETARY,107.0,2.0,crosbyton,TX,crosbyton clinic hospital,451345,Critical Access Hospitals,true,,
1200 carl ramert drive,3612932321,77995,PROPRIETARY,123.0,23.0,yoakum,TX,yoakum community hospital,451346,Critical Access Hospitals,true,,
310 south pecos street,3256252135,76834,STATE,83.0,25.0,coleman,TX,coleman county medical center company,451347,Critical Access Hospitals,true,,
2008 nine road,3255972901,76825,PROPRIETARY,307.0,25.0,brady,TX,heart of texas memorial hospital,451348,Critical Access Hospitals,true,,
539 southeast 2nd,8069953581,79088,PROPRIETARY,437.0,20.0,tulia,TX,swisher memorial hospital,451349,Critical Access Hospitals,true,,
310 west halsell street,8066472191,79027,STATE,69.0,25.0,dimmitt,TX,plains memorial hospital,451350,Critical Access Hospitals,true,,
2600 lockwood street,8069984533,79373,STATE,305.0,24.0,tahoka,TX,lynn county hospital district,451351,Critical Access Hospitals,true,,
402 mercer st,9406632795,79252,STATE,197.0,24.0,quanah,TX,hardeman county memorial hospital,451352,Critical Access Hospitals,true,,
1310 s alford st,4325583555,79731,STATE,103.0,25.0,crane,TX,crane county hospital district,451353,Critical Access Hospitals,true,,
901 west hamilton,9405645521,76374,STATE,503.0,25.0,olney,TX,hamilton hospital,451354,Critical Access Hospitals,true,,
1013 15th st,8064472521,79095,VOL. NON PROFIT - RELIGIOUS AFF,87.0,16.0,wellington,TX,collingsworth general hospital,451355,Critical Access Hospitals,true,,
701 n virginia st,3615526713,77979,CORPORATION,57.0,25.0,port lavaca,TX,memorial medical center,451356,Critical Access Hospitals,true,,
209 northwest 8th street,4327584854,79360,STATE,165.0,25.0,seminole,TX,memorial hospital,451358,Critical Access Hospitals,true,,
3101 garrett drive,8064353606,79070,STATE,357.0,25.0,perryton,TX,ochiltree general hospital,451359,Critical Access Hospitals,true,,
511 hospital st,9362753446,75972,PROPRIETARY,405.0,18.0,san augustine,TX,chi st lukes health memorial san augustine,451360,Critical Access Hospitals,true,,
"po box 750, 2301 hwy 83 w",4097873300,75948,VOL. NON PROFIT - RELIGIOUS AFF,403.0,25.0,hemphill,TX,sabine county hospital,451361,Critical Access Hospitals,true,,
310 w south street,9405385621,76365,CORPORATION,77.0,25.0,henrietta,TX,clay county memorial hospital,451362,Critical Access Hospitals,true,,
1013 s wells,3617827800,77957,STATE,239.0,25.0,edna,TX,jackson healthcare center,451363,Critical Access Hospitals,true,,
3349 s highway 181,8305833401,78119,STATE,255.0,25.0,kenedy,TX,otto kaiser memorial hospital,451364,Critical Access Hospitals,true,,
3201 s water st,5127153000,78611,PROPRIETARY,53.0,25.0,burnet,TX,ascension seton highland lakes,451365,Critical Access Hospitals,true,,
205 e grant street,8062665565,79346,STATE,79.0,18.0,morton,TX,cochran memorial hospital,451366,Critical Access Hospitals,true,,
2701 us hwy 271 n,9038564520,75686,RELIGIOUS AFFILIATION,63.0,25.0,pittsburg,TX,ut health east texas pittsburg hospital,451367,Critical Access Hospitals,true,,
100 medical drive,8062731100,79007,VOL. NON PROFIT - RELIGIOUS AFF,233.0,25.0,borger,TX,golden plains community hospital,451369,Critical Access Hospitals,true,,
504 lipscomb street,9036407311,75418,STATE,147.0,25.0,bonham,TX,tmc- bonham hospital,451370,Critical Access Hospitals,true,,
130 hays street,8308757000,78648,PROPRIETARY,55.0,24.0,luling,TX,ascension seton edgar b davis,451371,Critical Access Hospitals,true,,
708 s 1st st,8062724524,79347,VOL. NON PROFIT - RELIGIOUS AFF,17.0,25.0,muleshoe,TX,muleshoe area medical center,451372,Critical Access Hospitals,true,,
406 south gary st,4329432511,79756,CORPORATION,475.0,25.0,monahans,TX,ward memorial hospital,451373,Critical Access Hospitals,true,,
305 mallard,5123527611,76574,PROPRIETARY,491.0,25.0,taylor,TX,baylor scott & white medical center -taylor,451374,Critical Access Hospitals,true,,
1353 n travis st,9363367316,77575,STATE,291.0,25.0,liberty,TX,liberty dayton regional medical center,451375,Critical Access Hospitals,true,,
1400 north texana street,3617983671,77964,STATE,285.0,25.0,hallettsville,TX,lavaca medical center,451376,Critical Access Hospitals,true,,
2323 texas street,4324473551,79772,CORPORATION,389.0,25.0,pecos,TX,reeves county hospital district,451377,Critical Access Hospitals,true,,
2600 highway 118 north,4328373447,79830,VOL. NON PROFIT - RELIGIOUS AFF,43.0,25.0,alpine,TX,big bend regional medical center,451378,Critical Access Hospitals,true,,
1507 w main street,2548658251,76528,STATE,99.0,25.0,gatesville,TX,coryell memorial hospital,451379,Critical Access Hospitals,true,,
117 winnsboro street,9037634500,75783,PROPRIETARY,499.0,25.0,quitman,TX,ut health east texas quitman hospital,451380,Critical Access Hospitals,true,,
719 west coke road,9033425227,75494,PROPRIETARY,499.0,35.0,winnsboro,TX,christus mother frances hospital- winnsboro,451381,Critical Access Hospitals,true,,
10201 hwy 16,2548794900,76442,PROPRIETARY,93.0,38.0,comanche,TX,comanche county medical center,451382,Critical Access Hospitals,true,,
1700 cogdell blvd,3255747437,79549,STATE,415.0,25.0,snyder,TX,cogdell memorial hospital,451384,Critical Access Hospitals,true,,
101 posey avenue,2546758322,76634,STATE,35.0,25.0,clifton,TX,goodall witcher hospital,451385,Critical Access Hospitals,true,,
224 e second street,8069357171,79029,STATE,341.0,60.0,dumas,TX,memorial hospital,451386,Critical Access Hospitals,true,,
1025 garner field road,8302786251,78801,STATE,463.0,25.0,uvalde,TX,uvalde memorial hospital,451387,Critical Access Hospitals,true,,
387 west i 10,4323362004,79735,CORPORATION,371.0,25.0,fort stockton,TX,pecos county memorial hospital,451389,Critical Access Hospitals,true,,
704 hospital drive,8308762424,78834,RELIGIOUS AFFILIATION,127.0,25.0,carrizo springs,TX,dimmit regional hospital,451390,Critical Access Hospitals,true,,
200 s ih 35,8303343617,78061,PROPRIETARY,163.0,22.0,pearsall,TX,frio regional hospital,451391,Critical Access Hospitals,true,,
"400 n brown, building 1",2543863151,76531,STATE,193.0,34.0,hamilton,TX,hamilton general hospital,451392,Critical Access Hospitals,true,,
1100 e loop 304,9365463890,75835,LOCAL GOVERNMENT,225.0,25.0,crockett,TX,crockett medical center,451393,Critical Access Hospitals,true,,
701 southeast  5th street,9406573535,79529,STATE,275.0,25.0,knox city,TX,knox county hospital,451394,Critical Access Hospitals,true,,
101 circle drive,2545808500,76645,PROPRIETARY,217.0,25.0,hillsboro,TX,hill regional hospital,451395,Critical Access Hospitals,true,,
200 w ollie,3252475040,78643,PROPRIETARY,299.0,25.0,llano,TX,mid coast medical center - central,451396,Critical Access Hospitals,true,,
710 gregg st,,79720,,227.0,304.0,big spring,TX,medical arts clinic hosp,45145E,,false,,
509 w market st,,78387,,409.0,23.0,sinton,TX,sinton hosp,45146E,,false,,
3200 s 1st st,,78704,,453.0,40.0,austin,TX,st judes oak ridge hosp,45148E,,false,,
fouts field,,77901,,469.0,250.0,victoria,TX,"devereux foundation,the",45159E,,false,,
1066 w magnolia,,76104,,439.0,90.0,fort worth,TX,ft worth neuropsychiatric hosp,45160E,,false,,
612 s rockwall,,75160,,257.0,22.0,terrell,TX,jackson clinic hosp,45161E,,false,,
415 college st,5128888888,76541,,27.0,15.0,killeen,TX,burow clinic hosp,45164E,,false,,
4330 vance jackson,,78230,,29.0,100.0,san antonio,TX,park north general hosp,45165E,,false,,
1600 hospital parkway,,76021,,439.0,0.0,bedford,TX,hurst-euless-bedford hosp,45167E,,false,,
103 n 1st st,,75098,,113.0,37.0,wylie,TX,wylie hosp,45168E,,false,,
4101 frawley,,76118,,439.0,42.0,fort worth,TX,schick hosp,45170E,,false,,
805 n main ave,9158842561,76932,,383.0,20.0,big lake,TX,reagan memorial hospital,45185E,,false,,
4500 s lancaster rd,2143765451,75216,,113.0,622.0,dallas,TX,veterans administration hospital,45186E,,false,,
103 ave h,9153922671,76943,,105.0,20.0,ozona,TX,crockett county hosp,45187E,,false,,
803 west lampasas,9728750900,75119,,139.0,1.0,ennis,TX,ennis regional medical center,45188E,,false,,
1001 dickerson drive,4093842203,75951,,241.0,1.0,jasper,TX,dickerson memorial hospital,45189E,,false,,
17200 st luke's way,9362664050,77384,,339.0,84.0,the woodlands,TX,st luke's community medical center,45190E,,false,,
1230 west spring valley road,9722314864,75080,PRIVATE NON PROFIT,113.0,27.0,richardson,TX,"leaves,the",451990,Religious Non-Medical Health Care Institutions,true,,
3636 medical drive,2106160616,78229,VOL. NON PROFIT - RELIGIOUS AFF,29.0,59.0,san antonio,TX,kindred hospital san antonio,452016,Long Term,true,,
1300 pennsylvania 4th floor main bldg,8178785500,76104,PRIVATE NON PROFIT,439.0,15.0,fort worth,TX,texas health specialty hospital fort worth,452018,Long Term,true,,
2329 parker road,9728842407,75010,PROPRIETARY,121.0,60.0,carrollton,TX,select specialty hospital-dallas,452022,Long Term,true,,
6441 main st,7137900500,77030,VOL. NON PROFIT - RELIGIOUS AFF,201.0,110.0,houston,TX,kindred hospital houston medical center,452023,Long Term,true,,
1000 n cooper st,8175430200,76011,VOL. NON PROFIT - RELIGIOUS AFF,439.0,80.0,arlington,TX,kindred hospital-tarrant county,452028,Long Term,true,,
1900 pine st 7th floor,3256706251,79601,PROPRIETARY,441.0,46.0,abilene,TX,continuecare hospital at hendrick medical center,452029,Long Term,true,,
709 medical center blvd,7135515300,77598,LOCAL GOVERNMENT,201.0,148.0,webster,TX,cornerstone specialty hospitals clear lake,452032,Long Term,true,,
4207 burnet rd,5127061900,78756,VOL. NON PROFIT - RELIGIOUS AFF,453.0,54.0,austin,TX,cornerstone specialty hospitals austin,452034,Long Term,true,,
2311 n oregon street,9155451823,79902,VOL. NON PROFIT - RELIGIOUS AFF,141.0,32.0,el paso,TX,mesa hills specialty hospital,452035,Long Term,true,,
1106 w dittmar,5124444835,78745,VOL. NON PROFIT - RELIGIOUS AFF,453.0,47.0,austin,TX,texas neuro rehabilitation center,452038,Long Term,true,,
11297 fallbrook,2818978114,77065,VOL. NON PROFIT - RELIGIOUS AFF,201.0,158.0,houston,TX,kindred hospital houston nw,452039,Long Term,true,,
1810 west highway 82,9034164441,75092,LOCAL GOVERNMENT,181.0,33.0,sherman,TX,carrus specialty hospital,452041,Long Term,true,,
2830 calder avenue 4th floor,4098997680,77702,PROPRIETARY,245.0,53.0,beaumont,TX,christus dubuis hospital of beaumont,452042,Long Term,true,,
1950 record crossing,4692412100,75235,VOL. NON PROFIT - RELIGIOUS AFF,113.0,206.0,dallas,TX,lifecare hospitals of north texas,452044,Long Term,true,,
1300 binz,7132851000,77004,VOL. NON PROFIT - RELIGIOUS AFF,201.0,65.0,houston,TX,cornerstone specialty hospitals houston medical ce,452046,Long Term,true,,
1000 s beckham fl 5,9035356551,75701,VOL. NON PROFIT - RELIGIOUS AFF,423.0,36.0,tyler,TX,ut health east texas specialty hospital,452051,Long Term,true,,
506 east san antonio street  3rd floor,3615751445,77901,VOL. NON PROFIT - RELIGIOUS AFF,469.0,23.0,victoria,TX,pam  specialty hospital of victoria south,452056,Long Term,true,,
9182 six pines drive,7133640317,77380,VOL. NON PROFIT - RELIGIOUS AFF,339.0,75.0,the woodlands,TX,nexus specialty hospital the woodlands,452057,Long Term,true,,
8902 floyd curl dr.,2106907000,78240,VOL. NON PROFIT - RELIGIOUS AFF,29.0,62.0,san antonio,TX,pam specialty hospital of san antonio medical cen,452059,Long Term,true,,
7500 wallace blvd,8063511600,79120,VOL. NON PROFIT - RELIGIOUS AFF,375.0,37.0,amarillo,TX,vibra hospital of amarillo,452060,Long Term,true,,
2400 st michael drive 2nd floor,9036147600,75503,VOL. NON PROFIT - RELIGIOUS AFF,37.0,49.0,texarkana,TX,post acute medical specialty hospital of texarkana,452061,Long Term,true,,
200 memorial drive,8038758400,78648,VOL. NON PROFIT - RELIGIOUS AFF,55.0,34.0,luling,TX,post acute medical at luling llc,452062,Long Term,true,,
7955 harry hines blvd,2146370000,75235,VOL. NON PROFIT - RELIGIOUS AFF,113.0,66.0,dallas,TX,kpc promise hospital of dallas,452067,Long Term,true,,
1103 grace street,9407637901,76301,VOL. NON PROFIT - RELIGIOUS AFF,485.0,31.0,wichita falls,TX,kpc promise hospital of wichita falls llc,452068,Long Term,true,,
111 dallas street  4th floor,2102977182,78205,VOL. NON PROFIT - RELIGIOUS AFF,29.0,44.0,san antonio,TX,kindred hospital- san antonio central,452073,Long Term,true,,
350 blossom st,2813167800,77598,VOL. NON PROFIT - RELIGIOUS AFF,201.0,147.0,webster,TX,kindred hospital clear lake,452075,Long Term,true,,
1740 curie drive,9153519044,79902,VOL. NON PROFIT - RELIGIOUS AFF,141.0,72.0,el paso,TX,kindred hosptial el paso,452079,Long Term,true,,
1550 first colony boulevard,2812756000,77479,VOL. NON PROFIT - RELIGIOUS AFF,157.0,171.0,sugar land,TX,kindred hospital sugar land,452080,Long Term,true,,
2600 hwy 365,4097268700,77627,VOL. NON PROFIT - RELIGIOUS AFF,245.0,48.0,nederland,TX,mid-jefferson extended care hospital,452083,Long Term,true,,
600 elizabeth street,3618813223,78404,RELIGIOUS AFFILIATION,355.0,41.0,corpus christi,TX,post acute medical specialty hospital corpus ch,452086,Long Term,true,,
700 east marshall ave first floor west wing,9033151111,75601,VOL. NON PROFIT - RELIGIOUS AFF,183.0,32.0,longview,TX,select specialty hospital of longview,452087,Long Term,true,,
5418 n loop 1604 w,2109213550,78249,VOL. NON PROFIT - RELIGIOUS AFF,29.0,26.0,san antonio,TX,pam specialty hospital of san antonio,452090,Long Term,true,,
800 east dawson 4th floor,9035314942,75701,PROPRIETARY,423.0,51.0,tyler,TX,tyler continuecare hospital (at mother frances),452091,Long Term,true,,
102 medical drive,3615766200,77904,VOL. NON PROFIT - RELIGIOUS AFF,469.0,42.0,victoria,TX,pam specialty hospital of victoria north,452094,Long Term,true,,
301 west expressway 83-8th floor,9566324880,78503,VOL. NON PROFIT - RELIGIOUS AFF,215.0,53.0,mc allen,TX,solara specialty hospital mcallen,452095,Long Term,true,,
2005 bustamante street,9567535353,78041,VOL. NON PROFIT - RELIGIOUS AFF,479.0,40.0,laredo,TX,laredo specialty hospital lp,452096,Long Term,true,,
2700 walker way,2146381500,75115,VOL. NON PROFIT - RELIGIOUS AFF,113.0,60.0,de soto,TX,vibra specialty hospital,452097,Long Term,true,,
1024  n galloway avenue,9722162300,75149,PROPRIETARY,113.0,40.0,mesquite,TX,mesquite specialty hospital,452100,Long Term,true,,
333 lorenaly dr,6828319670,78526,VOL. NON PROFIT - RELIGIOUS AFF,61.0,82.0,brownsville,TX,solara specialty hospitals harlingen-brownville,452101,Long Term,true,,
3815 20th street,8067259200,79410,VOL. NON PROFIT - RELIGIOUS AFF,303.0,56.0,lubbock,TX,covenant specialty hospital,452102,Long Term,true,,
546 n kegley road,2542150900,76502,PROPRIETARY,27.0,50.0,temple,TX,baylor scott & white continuing care hospital,452105,Long Term,true,,
1445 hanz drive,8306277600,78130,VOL. NON PROFIT - RELIGIOUS AFF,91.0,32.0,new braunfels,TX,pam specialty hospital of new braunfels,452106,Long Term,true,,
1500 grand lake drive,9365231800,77304,VOL. NON PROFIT - RELIGIOUS AFF,339.0,41.0,conroe,TX,cornerstone hospital conroe,452107,Long Term,true,,
8050 meadows road,4692326500,75231,VOL. NON PROFIT - RELIGIOUS AFF,113.0,60.0,dallas,TX,kindred hospital dallas central,452108,Long Term,true,,
4201 william d tate avenue,8172881300,76051,VOL. NON PROFIT - RELIGIOUS AFF,439.0,60.0,grapevine,TX,sagecrest hospital grapevine,452110,Long Term,true,,
2813 s mayhill road,9403202300,76208,VOL. NON PROFIT - RELIGIOUS AFF,121.0,60.0,denton,TX,horizon medical center of denton,452111,Long Term,true,,
"11929 w airport blvd, suite 110",2812078200,77477,LOCAL GOVERNMENT,157.0,68.0,stafford,TX,atrium medical center,452114,Long Term,true,,
701 s fry road,2815995700,77450,PROPRIETARY,201.0,102.0,katy,TX,houston methodist continuing care hospital,452118,Long Term,true,,
"500 west  4th street , 4th floor",9729436488,79761,PROPRIETARY,135.0,25.0,odessa,TX,continuecare hospital at medical center odessa,452121,Long Term,true,,
1221 n cotton st 3rd floor,9154969687,79902,PROPRIETARY,141.0,33.0,el paso,TX,el paso ltac hosptial,452122,Long Term,true,,
1333 moursund ave,7137997022,77030,PROPRIETARY,201.0,134.0,houston,TX,tirr memorial hermann,453025,Rehabilitation,true,,
19002 mckay drive,2813199509,77338,VOL. NON PROFIT - RELIGIOUS AFF,201.0,90.0,humble,TX,healthsouth rehabilitation hospital of humble,453029,Rehabilitation,true,,
9119 cinnamon hill,2106910737,78240,VOL. NON PROFIT - RELIGIOUS AFF,29.0,108.0,san antonio,TX,encompass health rehabilitation hospital of san an,453031,Rehabilitation,true,,
5101 medical dr,2106160100,78229,VOL. NON PROFIT - RELIGIOUS AFF,29.0,139.0,san antonio,TX,warm springs rehab hospital of san antonio llc,453035,Rehabilitation,true,,
909 north washington avenue,2148209543,75246,VOL. NON PROFIT - RELIGIOUS AFF,113.0,92.0,dallas,TX,baylor institute for rehabilitation,453036,Rehabilitation,true,,
3200 matlock road,8174684000,76015,VOL. NON PROFIT - RELIGIOUS AFF,439.0,85.0,arlington,TX,encompass health rehabilitation hospital of arling,453040,Rehabilitation,true,,
6701 oakmont boulevard,8173704700,76132,VOL. NON PROFIT - RELIGIOUS AFF,439.0,77.0,fort worth,TX,encompass health rehabilitation hospital of city,453042,Rehabilitation,true,,
2800 w 15th st,9726129000,75075,VOL. NON PROFIT - RELIGIOUS AFF,85.0,83.0,plano,TX,encompass health rehabilitation hospital of plano,453047,Rehabilitation,true,,
3340 plaza 10 drive,4098350835,77707,VOL. NON PROFIT - RELIGIOUS AFF,245.0,61.0,beaumont,TX,pam rehabilitation hospital of beaumont,453048,Rehabilitation,true,,
515 west 12th st,9037930088,75501,VOL. NON PROFIT - RELIGIOUS AFF,37.0,60.0,texarkana,TX,healthsouth  rehabilitation hospital of texarkana,453053,Rehabilitation,true,,
3901 armory road,9407205700,76301,VOL. NON PROFIT - RELIGIOUS AFF,485.0,63.0,wichita falls,TX,healthsouth rehab hospital of wichita falls,453054,Rehabilitation,true,,
3131 troup hwy,9035107000,75701,VOL. NON PROFIT - RELIGIOUS AFF,423.0,94.0,tyler,TX,christus trinity mother frances rehabilitation hos,453056,Rehabilitation,true,,
1800 heritage boulevard,9155201600,79707,VOL. NON PROFIT - RELIGIOUS AFF,329.0,80.0,midland,TX,healthsouth rehabilitation of midland odessa,453057,Rehabilitation,true,,
18550 i 45 south,2813643304,77384,VOL. NON PROFIT - RELIGIOUS AFF,339.0,84.0,conroe,TX,healthsouth rehab hospital the woodlands,453059,Rehabilitation,true,,
701 olympic plaza circle,9035963000,75701,PROPRIETARY,423.0,49.0,tyler,TX,ut health east texas rehabilitation hospital,453072,Rehabilitation,true,,
906 james street,9569692222,78596,VOL. NON PROFIT - RELIGIOUS AFF,215.0,32.0,weslaco,TX,weslaco regional rehabilitation hospital llc,453091,Rehabilitation,true,,
425 east alton gloor blvd,9565546000,78526,VOL. NON PROFIT - RELIGIOUS AFF,61.0,40.0,brownsville,TX,south texas rehabiltation hospital,453092,Rehabilitation,true,,
7200 west 9th street,8064682981,79106,VOL. NON PROFIT - RELIGIOUS AFF,375.0,44.0,amarillo,TX,vibra rehabilitation hospital of amarillo,453096,Rehabilitation,true,,
801 seventh avenue,6828854000,76104,PROPRIETARY,439.0,392.0,fort worth,TX,cook childrens medical center,453300,Childrens Hospitals,true,,
3533 s alameda box 6530,3617394846,78411,PROPRIETARY,355.0,189.0,corpus christi,TX,driscoll childrens hospital,453301,Childrens Hospitals,true,,
1935 medical district drive,2144567000,75235,PROPRIETARY,113.0,406.0,dallas,TX,childrens medical ctr of dallas,453302,Childrens Hospitals,true,,
6621 fannin street,8328241000,77030,PROPRIETARY,201.0,954.0,houston,TX,texas childrens hospital,453304,Childrens Hospitals,true,,
4015 22nd place,8067257975,79410,PROPRIETARY,303.0,227.0,lubbock,TX,covenant childrens hospital,453306,Childrens Hospitals,true,,
2929 woodland park drive,2812937774,77082,VOL. NON PROFIT - RELIGIOUS AFF,201.0,40.0,houston,TX,healthbridge childrens's hospital of houston,453309,Childrens Hospitals,true,,
4900 mueller blvd,5123240000,78723,PROPRIETARY,453.0,227.0,austin,TX,dell children's medical center,453310,Childrens Hospitals,true,,
815 market street,4097706600,77550,PROPRIETARY,167.0,30.0,galveston,TX,shriners hospitals for children,453311,Childrens Hospitals,true,,
4845 alameda avenue,9155217148,79905,PROPRIETARY,141.0,122.0,el paso,TX,el paso children's hospital,453313,Childrens Hospitals,true,,
